Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6099709,WHS4_544,COUNTRY,TUV,YEAR,WPR,Western Pacific,,2014,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6105783,WHS4_544,COUNTRY,SWZ,YEAR,AFR,Africa,,2003,,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6106836,WHS4_544,COUNTRY,RUS,YEAR,EUR,Europe,,2022,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6110721,WHS4_544,REGION,AMR,YEAR,,,,2022,,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6110826,WHS4_544,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6111812,WHS4_544,COUNTRY,TUV,YEAR,WPR,Western Pacific,,2022,,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6112784,WHS4_544,COUNTRY,RWA,YEAR,AFR,Africa,,2001,,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6118766,WHS4_544,COUNTRY,DZA,YEAR,AFR,Africa,,2008,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6119900,WHS4_544,COUNTRY,SLE,YEAR,AFR,Africa,,2003,,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6124508,WHS4_544,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,,2017,,,,,,,,59,59.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6126128,WHS4_544,COUNTRY,CAN,YEAR,AMR,Americas,,2015,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6136804,WHS4_544,COUNTRY,TGO,YEAR,AFR,Africa,,2017,,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6139355,WHS4_544,COUNTRY,ATG,YEAR,AMR,Americas,,2008,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
