Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1927097,WHS4_543,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2008,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1928798,WHS4_543,COUNTRY,UZB,EUR,YEAR,Europe,,,2017,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1932129,WHS4_543,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,,,2005,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1934503,WHS4_543,COUNTRY,ARM,EUR,YEAR,Europe,,,2005,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1934705,WHS4_543,COUNTRY,DMA,AMR,YEAR,Americas,,,2005,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1944928,WHS4_543,COUNTRY,HUN,EUR,YEAR,Europe,,,2020,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1951020,WHS4_543,COUNTRY,PSE,EMR,YEAR,Eastern Mediterranean,,,2002,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1957050,WHS4_543,COUNTRY,MNE,EUR,YEAR,Europe,,,2021,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1957252,WHS4_543,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1958247,WHS4_543,COUNTRY,PSE,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1970481,WHS4_543,COUNTRY,GEO,EUR,YEAR,Europe,,,2020,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1971031,WHS4_543,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,2004,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1971118,WHS4_543,COUNTRY,MWI,AFR,YEAR,Africa,,,2002,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1971881,WHS4_543,COUNTRY,BWA,AFR,YEAR,Africa,,,2002,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1972521,WHS4_543,COUNTRY,CPV,AFR,YEAR,Africa,,,2011,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1976141,WHS4_543,COUNTRY,DMA,AMR,YEAR,Americas,,,2017,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1979078,WHS4_543,COUNTRY,EST,EUR,YEAR,Europe,,,2010,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1982895,WHS4_543,COUNTRY,GMB,AFR,YEAR,Africa,,,2011,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1984490,WHS4_543,COUNTRY,BEN,AFR,YEAR,Africa,,,2006,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1989333,WHS4_543,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,,,2006,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1989470,WHS4_543,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,,2005,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
