iso3,year,agriculture_gdp_pct,basic_sanitation_access,basic_water_access,births_attended_skilled,death_rate,electricity_access_pct,exports_pct_gdp,fertility_rate,food_production_index,gdp_growth,gdp_per_capita_ppp,gini_index,health_expenditure_pct_gdp,health_expenditure_per_capita,infant_mortality,internet_users_pct,life_expectancy_total,literacy_rate,nurses_midwives_per_1000,oop_health_expenditure_pct,physicians_per_1000,pm25_exposure,population,population_65_plus,population_density,tax_revenue_pct_gdp,unemployment_pct,urban_population_pct
PRY,2023,11.5900739623011,95.2491802778514,99.6009612348131,,5.703,99.8,42.0641902129227,2.422,,4.9992279112746,15826.087501295,44.2,8.35731316,1469.44739737129,15.0,78.09481878,73.844,,,36.32289886,,,6844146.0,6.36927529015307,17.282671943072,10.1382749910507,5.794,69.3466081733694
PRY,2024,10.7149976827803,95.9347586765151,99.6035956651355,,5.697,,37.2016814689979,2.416,,4.24996010464072,16296.2836189263,44.2,,,14.5,81.57806793,73.982,94.8600006103516,,,,,6929153.0,6.53764608747996,,11.4048611897401,5.686,69.8622585886961
PSE,2000,9.68100890207715,90.2843720055734,92.3932690944566,97.4,4.5,99.7,20.5165059347181,5.457,141.6,-8.5555726838292,4520.88992531975,,9.46541214,232.889883880702,26.3,1.11130620708969,70.298,,,38.5,,26.132738052948,2922153.0,2.28416052135412,485.407475083056,,10.625,72.0694328572656
PSE,2001,8.47216324899468,90.3396200979111,92.8828468337993,,4.4,99.1,15.3832704748108,5.342,124.14,-9.31108114182962,3996.50878001821,,10.3154583,228.786713311991,25.5,1.83685483917877,69.75,,,40.0,0.837,26.2365303648086,2997784.0,2.33754898165954,497.970764119601,,21.493,73.7258284491139
PSE,2002,8.0319478035885,90.3948305962946,93.3711212063226,,4.3,99.2,13.437201192418,5.216,152.04,-12.4883821798129,3409.17287422698,,11.04674053,212.492261607195,24.8,3.10009223512517,70.88,,,36.0,,26.5135715932111,3075373.0,2.40420676361771,510.859302325581,,27.465,75.4978748965208
PSE,2003,6.98084677419355,90.4499080847933,93.8579862818772,,4.2,99.1,12.9813508064516,5.062,139.44,14.0156476793996,3788.92652721128,,9.55897141,209.021144464564,24.0,4.13061635632919,70.967,,,40.29999924,,26.9126428548588,3154969.0,2.47637593157646,524.08122923588,,23.004,77.2865026687292
PSE,2004,11.1403184810237,90.935395618891,94.343564925414,98.3,4.1,99.5,12.9651756425018,4.971,149.27,21.9244861205987,4503.08034061409,34.0,11.37928772,304.624445897564,23.3,4.40090482603223,71.094,92.4800033569336,,36.20000076,,27.3825252664549,3236626.0,2.54517934695422,537.645514950166,,23.215,78.9926422349822
PSE,2005,8.98999161090193,91.4202595193558,94.8277543650199,97.0,4.0,99.6,14.1112433423727,4.867,142.48,11.2906511829271,4885.07252184444,34.7,10.99557114,330.048956955114,22.6,16.00499916,72.004,,,37.0,,27.8719999447027,3320396.0,2.60979892480478,551.560797342193,,20.016,80.5172240645229
PSE,2006,11.3867958042743,91.9045563015934,95.3106208970364,96.6,3.9,99.7,13.7669913804386,4.739,147.09,-0.996556103477076,4714.37331793342,34.0,10.50240231,313.988631981815,21.8,18.41,71.831,93.4499969482422,,41.29999924,,28.6014840570339,3406334.0,2.67017658794172,565.836212624585,,19.014,81.7611786265942
PSE,2007,8.92583867806111,92.3883325224338,95.7922178892891,,3.675,98.8,18.334852210396,4.627,130.14,3.78828152085981,4769.52328096801,35.6,9.58784008,298.075140046378,21.1,21.1760006,72.064,93.7600021362305,,37.29999924,,29.6437050910709,3494496.0,2.72646343067482,580.481063122924,,18.282,82.596126313073
