Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6250122,UHC_INDEX_REPORTED,COUNTRY,NAM,YEAR,AFR,Africa,,,2001,,,,,,,50,50.0,,,,2025-12-05T11:39:13.277+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6251559,UHC_INDEX_REPORTED,COUNTRY,GIN,YEAR,AFR,Africa,,,2017,,,,,,,37,37.0,,,,2025-12-05T11:39:13.277+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6251886,UHC_INDEX_REPORTED,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,,2006,,,,,,,75,75.0,,,,2025-12-05T11:39:13.277+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6253571,UHC_INDEX_REPORTED,REGION,WPR,YEAR,,,,,2005,,,,,,,67,67.0,,,,2025-12-05T11:39:13.277+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6258037,UHC_INDEX_REPORTED,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,,2007,,,,,,,36,36.0,,,,2025-12-05T11:39:13.277+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6258208,UHC_INDEX_REPORTED,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,,,2002,,,,,,,41,41.0,,,,2025-12-05T11:39:13.277+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6258291,UHC_INDEX_REPORTED,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,,2018,,,,,,,44,44.0,,,,2025-12-05T11:39:13.277+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6260126,UHC_INDEX_REPORTED,COUNTRY,LBR,YEAR,AFR,Africa,,,2020,,,,,,,43,43.0,,,,2025-12-05T11:39:13.277+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6260441,UHC_INDEX_REPORTED,COUNTRY,BEL,YEAR,EUR,Europe,,,2006,,,,,,,83,83.0,,,,2025-12-05T11:39:13.277+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6266194,UHC_INDEX_REPORTED,COUNTRY,LKA,YEAR,SEAR,South-East Asia,,,2003,,,,,,,63,63.0,,,,2025-12-05T11:39:13.277+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6267247,UHC_INDEX_REPORTED,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,,2007,,,,,,,69,69.0,,,,2025-12-05T11:39:13.277+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6267318,UHC_INDEX_REPORTED,WORLDBANKREGION,WB_ECA,YEAR,,,,,2013,,,,,,,79,79.0,,,,2025-12-05T11:39:13.277+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6268429,UHC_INDEX_REPORTED,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,,2012,,,,,,,23,23.0,,,,2025-12-05T11:39:13.277+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6268726,UHC_INDEX_REPORTED,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,,,2009,,,,,,,66,66.0,,,,2025-12-05T11:39:13.277+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6271031,UHC_INDEX_REPORTED,COUNTRY,DNK,YEAR,EUR,Europe,,,2020,,,,,,,84,84.0,,,,2025-12-05T11:39:13.277+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6271593,UHC_INDEX_REPORTED,COUNTRY,LVA,YEAR,EUR,Europe,,,2002,,,,,,,69,69.0,,,,2025-12-05T11:39:13.277+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6272660,UHC_INDEX_REPORTED,COUNTRY,DOM,YEAR,AMR,Americas,,,2002,,,,,,,68,68.0,,,,2025-12-05T11:39:13.277+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
