iso3,year,uhc_index,ncd_mortality_3070,under5_mortality,maternal_mortality,life_expectancy,dpt3_coverage,measles_coverage,hospital_beds,agriculture_gdp_pct,basic_sanitation_access,basic_water_access,births_attended_skilled,death_rate,electricity_access_pct,exports_pct_gdp,fertility_rate,food_production_index,gdp_growth,gdp_per_capita_ppp,gini_index,health_expenditure_pct_gdp,health_expenditure_per_capita,infant_mortality,internet_users_pct,life_expectancy_total,literacy_rate,nurses_midwives_per_1000,oop_health_expenditure_pct,physicians_per_1000,pm25_exposure,population,population_65_plus,population_density,tax_revenue_pct_gdp,unemployment_pct,urban_population_pct,region,uhc_year,uhc_type,treated,log_ncd_mortality_3070,log_under5_mortality,log_maternal_mortality,log_gdp_per_capita_ppp,log_population,log_health_expenditure_per_capita,uhc_change,post_treatment
LAO,2001,35.0,34.0,103.36301005,84.145357001,58.88681637,60.0,55.0,,32.6831929428473,31.5102351712047,50.5352610633994,19.4,9.682,45.3,27.8731588735049,4.29,35.71,5.75141287983195,3015.63258480614,,4.29031658,86.9184850004053,79.2,0.181664460654566,58.887,68.7300033569336,,43.97146606,,28.8274106843826,5521482.0,3.36892341585103,23.9232322357019,,1.881,23.3728884682287,East Asia & Pacific,2016.0,insurance,1,3.5553480614894135,4.647875302800068,4.444359878329018,8.011896450107722,15.524157041591089,4.476410078377352,-24.0,0
LAO,2002,36.0,33.2,99.136361604,81.309876738,59.61142102,65.0,55.0,,33.3863040963517,34.4269495344491,52.7107421470585,,9.417,46.3,28.7525146642775,4.132,39.82,5.91874368370564,3143.22327579556,32.6,3.69751263,83.1760958955142,76.0,0.267899241309349,59.302,,,49.66936493,,28.8952739905149,5610889.0,3.37544579615154,24.3106109185442,,1.775,24.5247834668291,East Asia & Pacific,2016.0,insurance,1,3.5322256440685598,4.606532873148067,4.410491109449717,8.053322167501962,15.54021991019234,4.432910984214116,-18.0,0
LAO,2003,37.0,32.5,94.928587149,78.447660213,60.19558269,65.0,52.0,,32.0861145753545,37.3258889602635,54.8653838022074,,9.221,48.0,23.5004331627788,4.024,39.01,6.06700230344272,3282.9853971272,,4.47920704,107.103912986389,72.8,0.333912466428616,59.643,,,54.7591362,,28.9554957475365,5697945.0,3.38496598335014,24.6878032928943,,1.639,25.5945881340707,East Asia & Pacific,2016.0,insurance,1,3.5115454388310208,4.5636040307843615,4.375098442744163,8.096813023889839,15.555616316985606,4.6830929218289725,-21.0,0
LAO,2004,39.0,32.1,90.848628953,75.623533322,60.73825821,60.0,46.0,3.46,30.5213475173909,40.206970140516,56.9994142749096,,8.993,53.5,24.9121225651615,3.898,40.57,6.35769548008234,3441.16999706515,,3.5405724,91.8304346959128,69.5,0.361434490258043,60.08,,0.969,47.25918961,0.346,28.9399726698219,5781626.0,3.39510056471143,25.0503726169844,,1.498,26.5371091732139,East Asia & Pacific,2016.0,insurance,1,3.4995332823830174,4.520141884527407,4.3389042530878665,8.143857364588827,15.570195688927551,4.530774546110269,6.0,0
LAO,2005,40.0,31.8,86.774493882,72.7228115,61.3511366,65.0,50.0,2.67,28.2951353434837,43.0065419549901,59.0427496607497,14.6,8.656,57.2,28.9637357220067,3.685,42.96,7.10756836811267,3630.55878769378,,3.33673191,93.6879452026679,66.2,0.850399971,60.688,72.6999969482422,0.975,43.72243881,0.267,28.7806014717458,5869523.0,3.40602635001175,25.4312088388215,,1.35,27.3224977292697,East Asia & Pacific,2016.0,insurance,1,3.490428515390098,4.474770955954135,4.300312269621882,8.197417253182792,15.585284098226676,4.550586697502989,-5.0,0
LAO,2006,41.0,31.4,82.726505916,69.781515683,61.98382706,61.0,56.0,,26.7296699146578,45.6181272062028,60.9334481098934,18.9,8.476,57.0,38.1550775230179,3.559,44.43,8.61926620832807,3881.53736632657,,2.93200922,92.1419452936448,63.0,1.16989994,61.074,,,41.0778656,,28.4053138984033,5963200.0,3.45348973705393,25.8370883882149,,1.199,28.0378756242097,East Asia & Pacific,2016.0,insurance,1,3.4781584227982836,4.427555604974172,4.259597888689171,8.264244179271847,15.601117975402314,4.534124623031262,-15.0,0
LAO,2007,43.0,30.7,78.835683307,66.912570051,62.60763355,56.0,46.0,,25.788148677301,48.2158994762992,62.8062763559799,,8.313,55.0,33.6143130828635,3.438,48.01,7.59682880054878,4112.25301659759,35.4,3.12986231,106.445277999075,59.9,1.64,61.694,,,35.17124939,,27.7775269837477,6056236.0,3.53578497140922,26.2401906412478,,1.068,28.7343050001346,East Asia & Pacific,2016.0,insurance,1,3.456316680883235,4.379970563745454,4.218221143366158,8.321969482651914,15.616599208076082,4.676981676092851,-6.0,0
LAO,2008,44.0,30.4,75.0200367,64.065093382,63.1872824,68.0,60.0,,24.1764814314586,50.8009551119223,64.6620895988517,,8.197,66.0,33.1540804750868,3.331,50.94,7.82490276337012,4367.162880257,,2.76727295,98.7704004191396,56.8,3.55,62.248,,,31.37778854,,26.8823653754409,6148969.0,3.61739504622645,26.6419800693241,12.1029400169726,0.944,29.4034348148069,East Asia & Pacific,2016.0,insurance,1,3.4468078929142076,4.330996946328679,4.175388205438634,8.382097806165634,15.631795146081616,4.602871550339629,-11.0,0
LAO,2009,45.0,29.8,71.363730239,61.300827202,63.79585544,67.0,67.0,,24.2053770855586,53.3715578045122,66.4995750629687,,7.995,67.4,30.0830696746432,3.229,55.81,7.50177491225853,4625.07173324518,,3.46300411,133.118344120013,53.9,6.0,63.023,,0.853,26.87693977,0.197,25.7049537211446,6241642.0,3.69892249507421,27.0435095320624,12.7571661741676,0.835,30.0420311503825,East Asia & Pacific,2016.0,insurance,1,3.427514689979529,4.281705210317784,4.131974703425966,8.439463349209245,15.646754006969962,4.898722575264826,4.0,0
LAO,2010,47.0,29.2,67.965101473,58.710253111,64.42237003,72.0,76.0,3.32,22.5957941345194,55.92839334626,68.3192708714706,37.0,7.853,70.2,35.384026037956,3.137,59.71,8.52690551739717,4946.10563678173,,2.91154933,115.67115135345,51.2,7.0,63.69,,0.846,35.9601326,0.332,24.2304166685204,6334194.0,3.78172029464206,27.4445147313691,13.0271390929762,0.708,30.6468600890172,East Asia & Pacific,2016.0,insurance,1,3.407841924380824,4.233600600895936,4.089503749555108,8.506557964705348,15.661473291839863,4.7593593052489735,,0
LAO,2011,49.0,28.6,64.666935247,56.141931369,65.03889894,78.0,78.0,,20.7912551864005,58.4713447138194,70.1211055659738,,7.659,70.0,40.3431560976816,3.049,67.41,8.03865268023725,5266.87866924206,,1.94457507,81.6579739874758,48.6,9.0,64.505,,,52.60241318,,20.5789011650413,6426590.0,3.86552588542291,27.8448440207972,13.1464121849439,0.96,31.2146877128668,East Asia & Pacific,2016.0,insurance,1,3.3877743613300146,4.1845955301173525,4.045538196878931,8.569383030943053,15.67595478455033,4.41471129859056,-15.0,0
LAO,2012,49.0,28.2,61.532549525,53.697445431,65.52691412,85.0,76.0,3.21,18.5484865737637,61.0006356441256,71.9052632997901,40.1,7.563,76.4,37.8767283501759,2.953,72.26,8.02609843461283,5608.96956337059,36.0,2.07637572,99.2704324425846,46.2,10.74769974,65.126,,0.856,48.63187027,0.321,22.4365696992954,6518978.0,3.94854837675476,28.2451386481802,13.6053412560259,1.208,31.7422801040872,East Asia & Pacific,2016.0,insurance,1,3.374168709274236,4.135687213577059,4.001817006893147,8.632300573077886,15.69022832654852,4.60787086030787,2.0,0
LAO,2013,52.0,28.0,58.565247778,51.368555848,65.9670211,87.0,82.0,3.26,17.9304984280697,63.5147843127718,73.6706450859176,,7.496,79.3,38.1731033983004,2.872,74.97,8.02630022699017,5974.47368943414,,2.39984965,125.310530168583,44.0,12.5,65.723,,0.948,48.70332336,0.326,24.2423626108046,6611385.0,4.02942832927052,28.6455155979203,13.7388338387583,1.469,32.2264033448341,East Asia & Pacific,2016.0,insurance,1,3.367295829986474,4.087072313034497,3.958306331970749,8.695418652223715,15.704303872147154,4.838743400137402,-10.0,0
